Created file at epoch: 1136
(Timestamp: 33779) Temperature Readings: [20.65, 19.03, 30.32, 20.00, 22.26, 27.42, 20.00, 27.74], Solar Cell 1: [Voltage: 0.74V, Current: 97.30mA], Solar Cell 2: [Voltage: 3.12V, Current: 6.20mA]
(Timestamp: 34288) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.26, 27.74, 20.00, 27.74], Solar Cell 1: [Voltage: 0.73V, Current: 96.64mA], Solar Cell 2: [Voltage: 3.23V, Current: 6.53mA]
(Timestamp: 34797) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.26, 27.42, 20.00, 27.74], Solar Cell 1: [Voltage: 0.70V, Current: 94.36mA], Solar Cell 2: [Voltage: 3.29V, Current: 6.53mA]
(Timestamp: 35306) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.58, 27.42, 20.00, 26.13], Solar Cell 1: [Voltage: 0.72V, Current: 95.66mA], Solar Cell 2: [Voltage: 3.05V, Current: 6.20mA]
(Timestamp: 35815) Temperature Readings: [20.65, 19.03, 30.32, 20.00, 22.26, 27.10, 20.00, 27.74], Solar Cell 1: [Voltage: 0.71V, Current: 94.68mA], Solar Cell 2: [Voltage: 3.24V, Current: 6.53mA]
(Timestamp: 36325) Temperature Readings: [20.97, 19.03, 30.32, 19.68, 22.58, 27.42, 20.00, 28.06], Solar Cell 1: [Voltage: 0.66V, Current: 89.46mA], Solar Cell 2: [Voltage: 1.36V, Current: 52.89mA]
(Timestamp: 36836) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.58, 26.77, 20.00, 25.16], Solar Cell 1: [Voltage: 0.66V, Current: 88.81mA], Solar Cell 2: [Voltage: 1.43V, Current: 12.73mA]
(Timestamp: 37346) Temperature Readings: [20.65, 19.03, 30.32, 20.00, 22.58, 27.10, 20.00, 25.48], Solar Cell 1: [Voltage: 0.67V, Current: 91.09mA], Solar Cell 2: [Voltage: 1.40V, Current: 23.18mA]
(Timestamp: 37857) Temperature Readings: [20.97, 19.35, 30.65, 20.00, 22.58, 27.42, 19.68, 25.81], Solar Cell 1: [Voltage: 0.66V, Current: 90.11mA], Solar Cell 2: [Voltage: 1.63V, Current: 4.24mA]
(Timestamp: 38364) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.58, 27.10, 20.00, 26.45], Solar Cell 1: [Voltage: 0.64V, Current: 86.85mA], Solar Cell 2: [Voltage: 2.15V, Current: 5.22mA]
(Timestamp: 38870) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.58, 27.10, 20.00, 26.45], Solar Cell 1: [Voltage: 0.63V, Current: 86.20mA], Solar Cell 2: [Voltage: 2.86V, Current: 5.88mA]
(Timestamp: 39376) Temperature Readings: [20.97, 19.03, 30.32, 20.00, 22.58, 27.42, 20.00, 25.81], Solar Cell 1: [Voltage: 0.63V, Current: 86.85mA], Solar Cell 2: [Voltage: 3.28V, Current: 6.53mA]
(Timestamp: 39884) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.58, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.62V, Current: 85.87mA], Solar Cell 2: [Voltage: 2.57V, Current: 5.55mA]
(Timestamp: 40393) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.58, 27.42, 20.00, 29.35], Solar Cell 1: [Voltage: 0.52V, Current: 73.14mA], Solar Cell 2: [Voltage: 1.28V, Current: 117.54mA]
(Timestamp: 40901) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 27.10, 20.00, 28.39], Solar Cell 1: [Voltage: 0.58V, Current: 81.30mA], Solar Cell 2: [Voltage: 1.28V, Current: 116.56mA]
(Timestamp: 41410) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 27.10, 20.00, 28.06], Solar Cell 1: [Voltage: 0.61V, Current: 84.24mA], Solar Cell 2: [Voltage: 1.32V, Current: 114.60mA]
(Timestamp: 41920) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.59V, Current: 82.93mA], Solar Cell 2: [Voltage: 1.55V, Current: 4.24mA]
(Timestamp: 42430) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.61V, Current: 85.54mA], Solar Cell 2: [Voltage: 1.83V, Current: 4.57mA]
